Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.802,0.844,0.869,0.883,0.898,0.904,0.913,0.913,0.911,0.912,0.915,0.917,0.916,0.916,0.917,0.92,0.92,0.919,0.92
Drg2,0.58,0.594,0.604,0.609,0.626,0.613,0.639,0.641,0.65,0.661,0.653,0.66,0.657,0.658,0.664,0.661,0.666,0.667,0.669
Drg3,0.574,0.641,0.649,0.672,0.679,0.704,0.702,0.698,0.719,0.725,0.727,0.737,0.737,0.743,0.749,0.755,0.752,0.761,0.762
Drg50,0.583,0.594,0.618,0.63,0.633,0.63,0.644,0.635,0.638,0.648,0.65,0.657,0.659,0.659,0.66,0.66,0.66,0.663,0.664
Drg52,0.6,0.594,0.64,0.655,0.663,0.662,0.684,0.684,0.688,0.684,0.696,0.706,0.695,0.702,0.704,0.707,0.708,0.709,0.71
Drg66,0.739,0.77,0.805,0.826,0.856,0.856,0.863,0.871,0.873,0.879,0.877,0.88,0.884,0.882,0.879,0.889,0.888,0.891,0.891
Drg67,0.733,0.764,0.782,0.784,0.794,0.799,0.806,0.809,0.811,0.812,0.817,0.815,0.816,0.818,0.818,0.821,0.821,0.823,0.823
Drg68,0.802,0.821,0.834,0.843,0.846,0.853,0.858,0.858,0.858,0.861,0.863,0.863,0.865,0.864,0.868,0.868,0.869,0.87,0.871
Drg69,0.763,0.785,0.795,0.806,0.814,0.815,0.823,0.821,0.829,0.826,0.826,0.827,0.828,0.83,0.83,0.831,0.834,0.833,0.835
Drg84,0.564,0.572,0.584,0.592,0.611,0.607,0.601,0.618,0.617,0.616,0.625,0.629,0.626,0.627,0.636,0.635,0.634,0.635,0.634
Drg96,0.619,0.629,0.678,0.688,0.704,0.703,0.706,0.718,0.724,0.725,0.721,0.723,0.736,0.734,0.734,0.739,0.735,0.739,0.739
Drg97,0.698,0.721,0.738,0.742,0.754,0.757,0.769,0.769,0.768,0.772,0.775,0.777,0.775,0.778,0.781,0.781,0.781,0.782,0.783
Drg178,0.629,0.646,0.644,0.649,0.671,0.671,0.685,0.693,0.693,0.695,0.696,0.696,0.702,0.695,0.697,0.699,0.703,0.702,0.7
Drg179,0.758,0.789,0.796,0.817,0.812,0.82,0.826,0.825,0.824,0.828,0.83,0.832,0.829,0.832,0.833,0.831,0.83,0.833,0.833
Drg256,0.585,0.611,0.639,0.658,0.683,0.673,0.692,0.695,0.685,0.699,0.702,0.694,0.706,0.695,0.707,0.704,0.708,0.708,0.707
Drg259,0.802,0.816,0.834,0.842,0.845,0.848,0.849,0.852,0.854,0.859,0.857,0.859,0.858,0.861,0.859,0.861,0.861,0.862,0.862
Drg261,0.619,0.615,0.641,0.654,0.664,0.672,0.672,0.676,0.674,0.682,0.687,0.691,0.688,0.691,0.692,0.695,0.692,0.696,0.696
Drg262,0.549,0.572,0.603,0.596,0.623,0.617,0.633,0.638,0.631,0.637,0.637,0.639,0.639,0.641,0.644,0.649,0.649,0.644,0.646
Drg263,0.674,0.7,0.698,0.708,0.715,0.722,0.72,0.726,0.728,0.727,0.729,0.731,0.731,0.731,0.732,0.733,0.733,0.734,0.735
Drg309,0.592,0.586,0.624,0.632,0.65,0.653,0.649,0.664,0.68,0.689,0.68,0.691,0.693,0.704,0.703,0.709,0.712,0.711,0.716
