Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.738,0.862,0.844,0.854,0.887,0.882,0.886,0.898,0.904,0.902,0.896,0.905,0.904,0.903,0.903,0.907,0.906,0.906,0.906
Drg2,0.58,0.579,0.586,0.594,0.592,0.596,0.599,0.61,0.613,0.605,0.614,0.61,0.611,0.618,0.611,0.616,0.616,0.618,0.618
Drg3,0.691,0.727,0.702,0.757,0.785,0.787,0.805,0.822,0.829,0.825,0.825,0.835,0.822,0.837,0.845,0.85,0.849,0.859,0.853
Drg50,0.562,0.581,0.639,0.642,0.623,0.65,0.671,0.629,0.658,0.651,0.68,0.669,0.661,0.668,0.677,0.676,0.672,0.686,0.678
Drg52,0.604,0.676,0.672,0.702,0.739,0.726,0.725,0.734,0.727,0.738,0.737,0.74,0.745,0.752,0.74,0.75,0.745,0.747,0.746
Drg66,0.633,0.692,0.726,0.751,0.777,0.804,0.844,0.829,0.892,0.893,0.9,0.934,0.93,0.956,0.954,0.971,0.963,0.97,0.981
Drg67,0.645,0.712,0.758,0.768,0.795,0.785,0.811,0.823,0.824,0.847,0.831,0.84,0.849,0.857,0.855,0.864,0.87,0.868,0.874
Drg68,0.693,0.699,0.742,0.774,0.772,0.772,0.787,0.802,0.801,0.816,0.804,0.81,0.818,0.824,0.815,0.814,0.819,0.82,0.826
Drg69,0.712,0.719,0.726,0.768,0.775,0.792,0.796,0.804,0.805,0.8,0.818,0.817,0.826,0.812,0.818,0.822,0.826,0.827,0.827
Drg84,0.529,0.609,0.607,0.657,0.634,0.664,0.662,0.644,0.651,0.667,0.662,0.673,0.673,0.666,0.677,0.675,0.672,0.679,0.677
Drg96,0.625,0.659,0.754,0.716,0.735,0.725,0.76,0.753,0.775,0.777,0.757,0.766,0.761,0.776,0.771,0.78,0.778,0.783,0.79
Drg97,0.644,0.703,0.739,0.743,0.734,0.754,0.766,0.764,0.774,0.786,0.779,0.78,0.776,0.787,0.788,0.795,0.791,0.792,0.795
Drg178,0.65,0.675,0.627,0.673,0.675,0.741,0.7,0.714,0.708,0.756,0.737,0.755,0.751,0.763,0.749,0.768,0.769,0.774,0.781
Drg179,0.61,0.638,0.664,0.721,0.715,0.701,0.737,0.743,0.771,0.75,0.755,0.773,0.77,0.761,0.78,0.788,0.793,0.785,0.785
Drg256,0.569,0.556,0.607,0.59,0.616,0.595,0.624,0.618,0.584,0.627,0.62,0.628,0.637,0.63,0.636,0.634,0.636,0.638,0.639
Drg259,0.787,0.8,0.791,0.806,0.808,0.8,0.815,0.833,0.824,0.818,0.832,0.84,0.839,0.841,0.839,0.842,0.841,0.846,0.846
Drg261,0.565,0.597,0.63,0.665,0.668,0.68,0.677,0.67,0.689,0.689,0.7,0.689,0.694,0.703,0.704,0.693,0.7,0.699,0.702
Drg262,0.557,0.578,0.632,0.588,0.633,0.64,0.653,0.671,0.614,0.672,0.654,0.692,0.694,0.695,0.685,0.697,0.688,0.687,0.692
Drg263,0.613,0.643,0.653,0.664,0.67,0.672,0.682,0.689,0.69,0.698,0.696,0.702,0.704,0.708,0.709,0.712,0.712,0.715,0.716
Drg309,0.573,0.57,0.645,0.641,0.645,0.67,0.651,0.68,0.669,0.663,0.686,0.672,0.688,0.691,0.699,0.697,0.69,0.7,0.704
