Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.66,0.799,0.847,0.854,0.872,0.879,0.881,0.885,0.887,0.898,0.897,0.898,0.898,0.903,0.904,0.904,0.905,0.905,0.906
Drg2,0.539,0.57,0.578,0.599,0.58,0.6,0.598,0.611,0.625,0.617,0.613,0.636,0.626,0.641,0.635,0.64,0.634,0.639,0.637
Drg3,0.527,0.56,0.576,0.59,0.615,0.612,0.619,0.633,0.632,0.64,0.656,0.643,0.648,0.658,0.653,0.658,0.652,0.656,0.657
Drg50,0.556,0.558,0.585,0.583,0.597,0.594,0.608,0.611,0.617,0.615,0.619,0.622,0.626,0.629,0.634,0.632,0.63,0.633,0.637
Drg52,0.548,0.553,0.626,0.649,0.633,0.66,0.657,0.677,0.676,0.686,0.684,0.688,0.689,0.689,0.692,0.691,0.695,0.695,0.694
Drg66,0.609,0.669,0.734,0.796,0.811,0.832,0.848,0.85,0.851,0.867,0.875,0.866,0.875,0.884,0.886,0.891,0.891,0.893,0.893
Drg67,0.685,0.736,0.762,0.77,0.776,0.785,0.791,0.797,0.81,0.811,0.814,0.818,0.823,0.827,0.829,0.831,0.834,0.836,0.839
Drg68,0.79,0.807,0.829,0.831,0.84,0.841,0.845,0.847,0.848,0.851,0.855,0.858,0.857,0.861,0.861,0.862,0.864,0.864,0.865
Drg69,0.74,0.781,0.798,0.798,0.808,0.817,0.823,0.826,0.826,0.83,0.83,0.835,0.837,0.843,0.842,0.844,0.845,0.846,0.847
Drg84,0.528,0.541,0.575,0.563,0.586,0.594,0.596,0.604,0.606,0.615,0.61,0.616,0.613,0.628,0.627,0.633,0.634,0.632,0.639
Drg96,0.545,0.586,0.623,0.641,0.687,0.674,0.698,0.694,0.705,0.7,0.717,0.715,0.72,0.721,0.723,0.725,0.726,0.727,0.727
Drg97,0.654,0.688,0.711,0.711,0.725,0.733,0.736,0.74,0.738,0.744,0.749,0.75,0.752,0.756,0.757,0.758,0.76,0.761,0.762
Drg178,0.572,0.612,0.627,0.649,0.64,0.669,0.665,0.672,0.663,0.679,0.677,0.681,0.68,0.686,0.686,0.683,0.683,0.683,0.683
Drg179,0.751,0.775,0.796,0.804,0.808,0.811,0.82,0.816,0.818,0.815,0.82,0.821,0.829,0.831,0.828,0.83,0.829,0.832,0.831
Drg256,0.52,0.557,0.601,0.59,0.63,0.654,0.658,0.67,0.672,0.679,0.689,0.688,0.682,0.699,0.687,0.695,0.697,0.695,0.694
Drg259,0.786,0.807,0.827,0.83,0.84,0.841,0.846,0.844,0.847,0.852,0.853,0.853,0.854,0.855,0.855,0.856,0.856,0.857,0.857
Drg261,0.535,0.576,0.593,0.611,0.604,0.628,0.648,0.632,0.645,0.648,0.651,0.667,0.664,0.67,0.668,0.676,0.678,0.683,0.685
Drg262,0.498,0.533,0.551,0.564,0.576,0.591,0.595,0.609,0.602,0.613,0.616,0.627,0.621,0.623,0.635,0.633,0.631,0.634,0.632
Drg263,0.644,0.684,0.693,0.702,0.706,0.709,0.716,0.716,0.721,0.724,0.724,0.726,0.729,0.73,0.73,0.732,0.733,0.734,0.734
Drg309,0.544,0.58,0.61,0.628,0.623,0.618,0.638,0.646,0.648,0.66,0.662,0.662,0.674,0.667,0.68,0.679,0.68,0.685,0.683
