Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.761,0.835,0.849,0.862,0.893,0.879,0.898,0.897,0.893,0.902,0.896,0.9,0.906,0.9,0.905,0.899,0.902,0.906,0.907
Drg2,0.58,0.575,0.599,0.597,0.593,0.616,0.62,0.635,0.631,0.628,0.632,0.637,0.637,0.65,0.644,0.644,0.649,0.653,0.653
Drg3,0.736,0.744,0.78,0.785,0.783,0.798,0.822,0.826,0.833,0.842,0.837,0.85,0.863,0.855,0.847,0.855,0.862,0.855,0.864
Drg50,0.626,0.602,0.606,0.631,0.659,0.622,0.692,0.664,0.677,0.655,0.677,0.698,0.669,0.691,0.686,0.699,0.684,0.691,0.693
Drg52,0.576,0.613,0.636,0.644,0.676,0.703,0.646,0.683,0.7,0.701,0.71,0.697,0.701,0.718,0.708,0.706,0.709,0.716,0.718
Drg66,0.619,0.653,0.647,0.651,0.67,0.724,0.786,0.782,0.813,0.853,0.8,0.833,0.88,0.819,0.843,0.858,0.872,0.866,0.87
Drg67,0.674,0.669,0.711,0.746,0.785,0.791,0.802,0.823,0.842,0.845,0.856,0.862,0.864,0.873,0.871,0.877,0.877,0.881,0.884
Drg68,0.692,0.714,0.746,0.755,0.766,0.783,0.772,0.791,0.772,0.79,0.797,0.806,0.794,0.803,0.805,0.806,0.812,0.815,0.814
Drg69,0.674,0.681,0.737,0.707,0.735,0.766,0.753,0.752,0.775,0.761,0.791,0.767,0.787,0.787,0.794,0.797,0.802,0.798,0.803
Drg84,0.594,0.595,0.617,0.632,0.626,0.639,0.654,0.655,0.644,0.646,0.641,0.645,0.656,0.654,0.653,0.646,0.653,0.649,0.648
Drg96,0.6,0.701,0.728,0.649,0.714,0.736,0.759,0.783,0.798,0.779,0.793,0.796,0.802,0.791,0.815,0.818,0.817,0.823,0.82
Drg97,0.735,0.754,0.774,0.781,0.782,0.785,0.803,0.796,0.791,0.808,0.791,0.799,0.803,0.803,0.8,0.796,0.8,0.801,0.8
Drg178,0.571,0.555,0.591,0.582,0.57,0.594,0.605,0.623,0.621,0.626,0.598,0.62,0.623,0.65,0.64,0.66,0.644,0.664,0.649
Drg179,0.655,0.68,0.701,0.672,0.727,0.73,0.762,0.749,0.752,0.757,0.77,0.764,0.774,0.781,0.784,0.782,0.785,0.79,0.795
Drg256,0.542,0.555,0.574,0.608,0.627,0.612,0.645,0.636,0.631,0.648,0.661,0.657,0.665,0.662,0.667,0.669,0.664,0.672,0.675
Drg259,0.834,0.849,0.838,0.841,0.845,0.863,0.859,0.859,0.862,0.866,0.862,0.868,0.867,0.868,0.865,0.864,0.869,0.868,0.869
Drg261,0.564,0.604,0.638,0.656,0.634,0.652,0.669,0.659,0.688,0.703,0.695,0.686,0.688,0.7,0.682,0.706,0.71,0.714,0.713
Drg262,0.52,0.573,0.564,0.625,0.525,0.62,0.596,0.62,0.621,0.602,0.617,0.592,0.614,0.621,0.625,0.61,0.625,0.618,0.624
Drg263,0.634,0.664,0.683,0.703,0.71,0.704,0.715,0.716,0.715,0.727,0.729,0.736,0.734,0.738,0.736,0.74,0.742,0.744,0.745
Drg309,0.545,0.569,0.612,0.614,0.647,0.678,0.706,0.701,0.723,0.73,0.753,0.757,0.791,0.781,0.788,0.787,0.797,0.796,0.803
